run_name,seed,dataset,model,beta,beta_schedule,aux_enabled,strategy,lookahead,sigma,detach_target,normalize_gradients,skip_last_aux_layers,max_epochs,train_subset,val_subset,test_subset,val_acc,val_total_loss,test_acc,test_total_loss,duration_seconds,best_checkpoint,log_dir,beta_mode,direct_hidden_target
cifar100_followup_output_beta0.4_nodetach_seed0,0,cifar100,resnet18,0.4,constant,True,output,1,1.0,False,False,0,2,1.0,1.0,1.0,0.6488000154495239,1.154444932937622,0.65829998254776,1.127164602279663,762.1048784255981,C:\Users\DavWi\Main\Projekte\greedy_auxiliary_loss\results\checkpoints\cifar100_followup_output_beta0.4_nodetach_seed0\best.ckpt,results\lightning_logs\cifar100_followup_output_beta0.4_nodetach_seed0,,
cifar100_followup_output_beta0.4_nodetach_seed1,1,cifar100,resnet18,0.4,constant,True,output,1,1.0,False,False,0,2,1.0,1.0,1.0,0.6402000188827515,1.1646982431411743,0.6434999704360962,1.152420163154602,762.7354736328125,C:\Users\DavWi\Main\Projekte\greedy_auxiliary_loss\results\checkpoints\cifar100_followup_output_beta0.4_nodetach_seed1\best.ckpt,results\lightning_logs\cifar100_followup_output_beta0.4_nodetach_seed1,,
cifar100_followup_output_beta0.5_detach_seed1,1,cifar100,resnet18,0.5,constant,True,output,1,1.0,True,False,0,2,1.0,1.0,1.0,0.6320000290870667,1.065826654434204,0.6427000164985657,1.0503281354904175,752.4688212871552,C:\Users\DavWi\Main\Projekte\greedy_auxiliary_loss\results\checkpoints\cifar100_followup_output_beta0.5_detach_seed1\best.ckpt,results\lightning_logs\cifar100_followup_output_beta0.5_detach_seed1,,
cifar100_followup_output_beta0.5_nodetach_seed0,0,cifar100,resnet18,0.5,constant,True,output,1,1.0,False,False,0,2,1.0,1.0,1.0,0.6362000107765198,0.9721419215202332,0.6539000272750854,0.9493282437324524,773.6461443901062,C:\Users\DavWi\Main\Projekte\greedy_auxiliary_loss\results\checkpoints\cifar100_followup_output_beta0.5_nodetach_seed0\best.ckpt,results\lightning_logs\cifar100_followup_output_beta0.5_nodetach_seed0,,
cifar100_followup_output_beta0.5_nodetach_seed1,1,cifar100,resnet18,0.5,constant,True,output,1,1.0,False,False,0,2,1.0,1.0,1.0,0.6416000127792358,0.9671321511268616,0.6543999910354614,0.949791431427002,767.1546108722687,C:\Users\DavWi\Main\Projekte\greedy_auxiliary_loss\results\checkpoints\cifar100_followup_output_beta0.5_nodetach_seed1\best.ckpt,results\lightning_logs\cifar100_followup_output_beta0.5_nodetach_seed1,,
cifar100_followup_output_beta0.5_skip1_seed0,0,cifar100,resnet18,0.5,,True,output,1,1.0,True,False,1,2,1.0,1.0,1.0,0.6290000081062317,1.0978083610534668,0.6371999979019165,1.0790328979492188,760.2949028015137,C:\Users\DavWi\Main\Projekte\greedy_auxiliary_loss\results\checkpoints\cifar100_followup_output_beta0.5_skip1_seed0\best.ckpt,results\lightning_logs\cifar100_followup_output_beta0.5_skip1_seed0,,
cifar100_followup_output_beta0.5_skip2_seed0,0,cifar100,resnet18,0.5,,True,output,1,1.0,True,False,2,2,1.0,1.0,1.0,0.6344000101089478,1.1050899028778076,0.6452000141143799,1.0905627012252808,757.1006956100464,C:\Users\DavWi\Main\Projekte\greedy_auxiliary_loss\results\checkpoints\cifar100_followup_output_beta0.5_skip2_seed0\best.ckpt,results\lightning_logs\cifar100_followup_output_beta0.5_skip2_seed0,,
cifar100_followup_output_beta0.8_decay_seed0,0,cifar100,resnet18,0.8,linear_decay,True,output,1,1.0,True,False,0,2,1.0,1.0,1.0,0.635200023651123,1.9170864820480347,0.6503000259399414,1.8718751668930054,802.8153629302979,C:\Users\DavWi\Main\Projekte\greedy_auxiliary_loss\results\checkpoints\cifar100_followup_output_beta0.8_decay_seed0\best.ckpt,results\lightning_logs\cifar100_followup_output_beta0.8_decay_seed0,,
cifar100_followup_output_beta0.8_decay_seed1,1,cifar100,resnet18,0.8,linear_decay,True,output,1,1.0,True,False,0,2,1.0,1.0,1.0,0.633400022983551,1.9346489906311035,0.640999972820282,1.9158027172088623,807.0156471729279,C:\Users\DavWi\Main\Projekte\greedy_auxiliary_loss\results\checkpoints\cifar100_followup_output_beta0.8_decay_seed1\best.ckpt,results\lightning_logs\cifar100_followup_output_beta0.8_decay_seed1,,
cifar100_full_baseline_seed0,0,cifar100,resnet18,0.0,,False,fixed,1,1.0,True,False,,2,1.0,1.0,1.0,0.6313999891281128,1.914015769958496,0.6499000191688538,1.8620070219039917,752.3418309688568,C:\Users\DavWi\Main\Projekte\greedy_auxiliary_loss\results\checkpoints\cifar100_full_baseline_seed0\best.ckpt,results\lightning_logs\cifar100_full_baseline_seed0,,
